service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
trust,http3,10,60s,41.366,278.6637,,83.22667805411359,2528.08,60.8911725140276,0.00027329871549603714,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-10.log
trust,http3,20,60s,125.725,530.0607499999998,,202.7133670915961,6071.407,70.48639355518743,0.00023607176581680832,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-20.log
trust,http3,30,60s,176.898,511.4724999999997,,229.69736663800518,2504.788,96.40742816995872,0.0005159071367153912,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-30.log
trust,http3,40,60s,259.741,873.6589999999999,,393.0227988607352,8243.254,84.12902546893463,0.0005892751915144372,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-40.log
trust,http3,50,60s,354.425,1204.6778999999988,,460.1642286689409,3113.228,92.2234921612268,0.0017962996227770792,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http3/vus-50.log
trust,http2,10,60s,148.737,1142.9097499999993,,358.40553221083405,15002.021,22.675020657757198,0.0021961932650073207,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http2/vus-10.log
trust,http1,10,60s,85.729,447.9763999999999,,147.80244076190456,2956.382,43.671568047365334,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http1/vus-10.log
trust,http1,20,60s,228.483,1054.4145999999992,,373.1597708569275,3844.504,43.907228154090404,0.00037750094375235937,1,p95>=1000,20,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http1/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/trust/http1/vus-20.log
messaging,http3,10,60s,11.505,449.5679999999975,,478.42224054316256,10894.37,17.150094449445955,0.002909796314258002,0,,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/messaging/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/messaging/http3/vus-10.log
messaging,http3,20,60s,24.71,246.09159999999974,,62.89542285237699,1249.84,19.961118936753937,0,0,,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/messaging/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-122845/messaging/http3/vus-20.log
