service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
auth,http3,10,60s,38.943,173.94639999999993,,58.57942008383442,745.44,91.27542510069533,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-10.log
auth,http3,20,60s,52.287,205.02034999999992,,96.54318687116617,9992.474,135.69869760885575,0.0017177914110429449,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-20.log
auth,http3,30,60s,91.596,311.645,,127.214995851032,1207.336,168.4260559284649,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-30.log
auth,http3,40,60s,94.84,243.87824999999998,,112.83461642623877,572.007,244.58964411840628,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-40.log
auth,http3,50,60s,107.264,218.56159999999997,,121.91212573922036,698.226,289.6516176378461,0.0002870758454383648,0,,56,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-50.log
auth,http3,60,60s,161.799,336.0115999999997,,200.5938423621276,5210.483,238.59625752046904,0.00027888168444537405,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-60-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http3/vus-60.log
auth,http2,10,60s,21.895,53.92424999999997,,26.09680048568508,212.534,130.25832453332134,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-10.log
auth,http2,20,60s,29.32,101.95599999999988,,38.84571816625731,246.987,223.64827611069907,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-20.log
auth,http2,30,60s,68.044,174.47999999999982,,81.80772823451572,1151.317,226.3890530222922,0,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-30.log
auth,http2,40,60s,132.472,509.1189,,183.73256594209965,1400.784,170.31613972617237,0,1,rps_stall,96,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http2/vus-40.log
auth,http1,10,60s,35.282,162.02609999999936,,1399.3598284082436,546203.859,4.8804186597885835,0.0009932952570151478,0,,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http1/vus-10.log
auth,http1,20,60s,66.882,2316.0112,,2996.8387094499303,462349.158,5.425288503528088,0.000846262341325811,1,p95>=1000,0,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http1/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/auth/http1/vus-20.log
