service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
booking,http3,10,60s,30.31,150.63579999999996,,50.47112396833408,1068.138,98.77577270704779,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-10.log
booking,http3,20,60s,126.501,356.71924999999993,,160.18475823794654,4116.623,94.51688161498303,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-20.log
booking,http3,30,60s,151.837,481.28294999999997,,193.70682646979182,1145.594,122.53859193762463,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-30.log
booking,http3,40,60s,312.515,1252.28425,,739.2636170345693,40131.934,47.9997105223622,0,1,p95>=1000,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http3/vus-40.log
booking,http2,10,60s,19.2265,151.13230000000001,,257.3423371786411,127798.122,32.45333678946039,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-10.log
booking,http2,20,60s,108.908,379.0399999999999,,136.54996372411622,1207.779,106.78137188244486,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-20.log
booking,http2,30,60s,156.4855,520.3242499999998,,217.03723208999446,2184.542,111.5579336234258,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-30.log
booking,http2,40,60s,224.6365,734.3608499999997,,305.8929360913411,6590.64,111.88980672412943,0.005931198102016607,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-40.log
booking,http2,50,60s,264.168,707.3811999999992,,333.6463800638974,1849.389,129.88778094104552,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-50.log
booking,http2,60,60s,430.094,1036.9429999999998,,505.80410310233117,3246.808,107.55098375618267,0,1,p95>=1000,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-60-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http2/vus-60.log
booking,http1,10,60s,24.454,148.79219999999995,,47.75158705978715,1445.603,101.6538033116961,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-10.log
booking,http1,20,60s,137.086,465.71709999999985,,166.32476800866615,1655.662,92.12492552375865,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-20.log
booking,http1,30,60s,157.48149999999998,541.45875,,219.75499219922003,1530.295,110.76668090382421,0,0,,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-30.log
booking,http1,40,60s,325.5525,1026.37735,,403.07932587621207,4586.886,87.65746456666793,0,1,p95>=1000,6,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/booking/http1/vus-40.log
