service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
gateway,http3,10,60s,,,,,,1,k6 exited 2,1,no_metrics,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http3/vus-10.log
gateway,http2,10,60s,11.162,642.5482999999998,,339.2054565853658,592402.689,4.664477214153953,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-10.log
gateway,http2,20,60s,4.016,45.18699999999996,,11.25892313636604,604.72,323.1813659994423,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-20.log
gateway,http2,30,60s,8.873000000000001,82.53314999999999,,21.451764120000014,605.004,416.29434687929603,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-30.log
gateway,http2,40,60s,14.161,68.86149999999998,,21.784569745069774,342.814,553.7088790341521,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-40.log
gateway,http2,50,60s,34.057500000000005,138.1504999999999,,62.34852530455733,8704.154,442.72732148605496,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-50.log
gateway,http2,60,60s,41.416,138.70249999999996,,55.577296861621896,2714.381,563.600365192936,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-60-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http2/vus-60.log
gateway,http1,10,60s,4.047,27.744199999999992,,8.017022560796933,325.185,170.50062440296057,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-10.log
gateway,http1,20,60s,3.577,34.15849999999998,,9.159815359396033,337.742,335.2337573116421,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-20.log
gateway,http1,30,60s,4.2995,53.486499999999985,,12.92165465982575,284.583,473.5470487864292,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-30.log
gateway,http1,40,60s,20.146,143.47699999999995,,38.5721664502726,735.658,448.8253594170069,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-40.log
gateway,http1,50,60s,43.8925,209.89954999999998,,91.74164504974036,11361.335,351.0578115219003,0,1,rps_stall,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/gateway/http1/vus-50.log
