service,protocol,p50,p95,p99,max,avg,rps,fail_rate,duration_metric,waiting_p95,sending_p95,http2_collapse_anomaly,source_summary
analytics,http1.1,8.271,51.83479999999992,,371.341,17.108100895036625,61.35330718787191,,http_req_duration,51.78299999999992,0.04159999999999995,,bench_logs/run-20260331-185112/protocol-matrix/http1/analytics-summary.json
auth,http1.1,18.275,54.66529999999999,,197.842,23.794484829721366,80.54983366334658,,http_req_duration,54.58579999999999,0.036,,bench_logs/run-20260331-185112/protocol-matrix/http1/auth-summary.json
booking,http1.1,7.76,43.05599999999999,,229.422,12.751503426462863,94.67032046527294,,http_req_duration,42.96339999999999,0.04919999999999992,,bench_logs/run-20260331-185112/protocol-matrix/http1/booking-summary.json
event-layer,http1.1,7.0595,102.85459999999999,,711.877,24.70379285714283,69.68511387592883,,http_req_duration,102.77655,0.116,,bench_logs/run-20260331-185112/protocol-matrix/http1/event-layer-summary.json
gateway,http1.1,2.229,7.746,,403.29,3.8157055883689193,109.76213234360904,,http_req_duration,7.602,0.041,,bench_logs/run-20260331-185112/protocol-matrix/http1/gateway-summary.json
listings,http1.1,6.273,27.787499999999984,,247.224,10.461490335707037,98.21654540137246,,http_req_duration,27.72649999999998,0.04274999999999991,,bench_logs/run-20260331-185112/protocol-matrix/http1/listings-summary.json
media,http1.1,17.959,94.12139999999991,,368.932,30.48986896551727,28.85727652745943,,http_req_duration,91.7754,0.06279999999999997,,bench_logs/run-20260331-185112/protocol-matrix/http1/media-summary.json
messaging,http1.1,7.6525,86.92959999999991,,469.198,22.10806976744186,30.943834940627017,,http_req_duration,86.82304999999992,0.044,,bench_logs/run-20260331-185112/protocol-matrix/http1/messaging-summary.json
trust,http1.1,19.0485,405.82724999999994,,7318.534,155.39246874999995,25.27606698078762,,http_req_duration,405.52039999999994,0.039,,bench_logs/run-20260331-185112/protocol-matrix/http1/trust-summary.json
analytics,http2,6.718,25.27879999999998,,84.648,9.399000747943134,66.57250913878227,,http_req_duration,25.124399999999977,0.21819999999999995,,bench_logs/run-20260331-185112/protocol-matrix/http2/analytics-summary.json
auth,http2,18.435499999999998,45.07174999999999,,216.494,22.7311697191697,81.70139616114169,,http_req_duration,45.003949999999996,0.195,,bench_logs/run-20260331-185112/protocol-matrix/http2/auth-summary.json
booking,http2,6.0634999999999994,20.8114,,336.852,9.342500998004,99.9991716635481,,http_req_duration,20.550549999999998,0.2108499999999999,,bench_logs/run-20260331-185112/protocol-matrix/http2/booking-summary.json
event-layer,http2,3.9795,17.16334999999999,,96.816,5.995430167597758,89.22324733142739,,http_req_duration,16.985999999999986,0.226,,bench_logs/run-20260331-185112/protocol-matrix/http2/event-layer-summary.json
gateway,http2,2.3305,5.296749999999995,,26.958,2.7154911347517765,112.49591229946333,,http_req_duration,5.104999999999999,0.2254999999999998,,bench_logs/run-20260331-185112/protocol-matrix/http2/gateway-summary.json
listings,http2,5.918,19.227399999999985,,163.989,8.933483391174995,100.74015293723724,,http_req_duration,19.0644,0.224,,bench_logs/run-20260331-185112/protocol-matrix/http2/listings-summary.json
media,http2,6.176,26.77359999999994,,256.955,10.694087924970699,34.06379609898851,,http_req_duration,26.187599999999986,0.201,,bench_logs/run-20260331-185112/protocol-matrix/http2/media-summary.json
messaging,http2,6.7005,40.98989999999999,,105.114,11.583345518867915,33.83448806823586,,http_req_duration,40.822749999999985,0.19264999999999996,,bench_logs/run-20260331-185112/protocol-matrix/http2/messaging-summary.json
trust,http2,10.6395,70.79084999999995,,762.665,21.09675508474577,58.97650965620394,,http_req_duration,70.69004999999994,0.181,,bench_logs/run-20260331-185112/protocol-matrix/http2/trust-summary.json
analytics,http3,13.2925,120.69045,,422.349,29.961241727941182,54.18964393070758,,http_req_duration,119.89714999999991,0.17764999999999995,,bench_logs/run-20260331-185112/protocol-matrix/http3/analytics-summary.json
auth,http3,31.409,209.52639999999997,,817.65,56.4672531305903,55.82932565665125,,http_req_duration,209.34534999999994,0.213,,bench_logs/run-20260331-185112/protocol-matrix/http3/auth-summary.json
booking,http3,9.037,37.96899999999998,,247.739,13.616284874398742,93.4241903141135,,http_req_duration,37.84999999999998,0.146,,bench_logs/run-20260331-185112/protocol-matrix/http3/booking-summary.json
event-layer,http3,20.4525,223.97684999999996,,531.692,50.36207090909095,53.56405481842759,,http_req_duration,223.77849999999995,0.2522999999999997,,bench_logs/run-20260331-185112/protocol-matrix/http3/event-layer-summary.json
gateway,http3,6.537416,47.75907499999995,,418.9665,13.183443737324396,81.61833044993439,,http3_req_duration,42.13354139999987,0.005008399999999997,,bench_logs/run-20260331-185112/protocol-matrix/http3/gateway-summary.json
listings,http3,7.7265,31.91344999999999,,368.009,14.751556583242657,91.65503816225564,,http_req_duration,31.72739999999999,0.168,,bench_logs/run-20260331-185112/protocol-matrix/http3/listings-summary.json
media,http3,9.0555,54.83334999999998,,218.713,16.938518564356436,32.27353256780887,,http_req_duration,51.583549999999995,0.17264999999999994,,bench_logs/run-20260331-185112/protocol-matrix/http3/media-summary.json
messaging,http3,9.104,46.77049999999993,,248.782,15.509855921855912,32.6167862150868,,http_req_duration,46.56659999999992,0.16409999999999997,,bench_logs/run-20260331-185112/protocol-matrix/http3/messaging-summary.json
trust,http3,15.902000000000001,139.05474999999993,,1472.876,51.63631788079468,45.10815950842661,,http_req_duration,138.8944999999999,0.20374999999999996,,bench_logs/run-20260331-185112/protocol-matrix/http3/trust-summary.json
